Site_ID,Site_Long_Name,Latitude,Longitude,Thompson_Vs30,Model_Vs30,Z1.0,Z2.5,Study
ACTN,Acton,34.5,-118.2,525.4,491.0,100.0,840.0,Study 22.12 LF
ACTN,Acton,34.5,-118.2,525.4,491.0,100.0,840.0,Study 22.12 BB
ALIS,Aliso,34.4,-118.1,720.7,649.7,60.0,700.0,Study 22.12 BB
ALIS,Aliso,34.4,-118.1,720.7,649.7,60.0,700.0,Study 22.12 LF
ALP,Antelope,34.7,-118.3,351.9,325.5,140.0,880.0,Study 22.12 LF
ALP,Antelope,34.7,-118.3,351.9,325.5,140.0,880.0,Study 22.12 BB
BKBU,Black Butte,34.6,-117.7,719.6,561.6,80.0,770.0,Study 22.12 LF
BKBU,Black Butte,34.6,-117.7,719.6,561.6,80.0,770.0,Study 22.12 BB
BRE,Barre Substation,33.8,-118.0,229.9,215.0,690.0,4640.0,Study 22.12 LF
BRE,Barre Substation,33.8,-118.0,229.9,215.0,690.0,4640.0,Study 22.12 BB
BVH,Beverly Hospital,34.0,-118.1,390.4,340.4,510.0,4600.0,Study 22.12 BB
BVH,Beverly Hospital,34.0,-118.1,390.4,340.4,510.0,4600.0,Study 22.12 LF
CCP,Century City Plaza,34.1,-118.4,322.5,289.4,420.0,2960.0,Study 22.12 BB
CCP,Century City Plaza,34.1,-118.4,322.5,289.4,420.0,2960.0,Study 22.12 LF
CHN,Chino,34.0,-117.7,293.5,263.9,310.0,800.0,Study 22.12 BB
CHN,Chino,34.0,-117.7,293.5,263.9,310.0,800.0,Study 22.12 LF
COO,Compton,33.9,-118.2,240.2,220.8,720.0,4280.0,Study 22.12 LF
COO,Compton,33.9,-118.2,240.2,220.8,720.0,4280.0,Study 22.12 BB
CSDH,CSU Dominguez Hills,33.9,-118.3,367.8,323.5,530.0,3950.0,Study 22.12 LF
CSDH,CSU Dominguez Hills,33.9,-118.3,367.8,323.5,530.0,3950.0,Study 22.12 BB
DLA,Del Amo,33.8,-118.1,229.3,210.6,820.0,4850.0,Study 22.12 BB
DLA,Del Amo,33.8,-118.1,229.3,210.6,820.0,4850.0,Study 22.12 LF
EMCH,El Monte City Hall,34.1,-118.0,227.8,245.6,380.0,3570.0,Study 22.12 LF
EMCH,El Monte City Hall,34.1,-118.0,227.8,245.6,380.0,3570.0,Study 22.12 BB
FFI,Five-Fourteen Interchange,34.3,-118.5,349.7,308.7,280.0,3910.0,Study 22.12 LF
FFI,Five-Fourteen Interchange,34.3,-118.5,349.7,308.7,280.0,3910.0,Study 22.12 BB
FIL,Filmore Central Park,34.4,-118.9,351.9,281.4,990.0,6820.0,Study 22.12 BB
FIL,Filmore Central Park,34.4,-118.9,351.9,281.4,990.0,6820.0,Study 22.12 LF
GAVI,Gavilan,33.8,-117.4,709.9,655.2,50.0,410.0,Study 22.12 BB
GAVI,Gavilan,33.8,-117.4,709.9,655.2,50.0,410.0,Study 22.12 LF
GLBT,Gibraltar,34.0,-117.4,709.6,363.8,150.0,370.0,Study 22.12 BB
GLBT,Gibraltar,34.0,-117.4,709.6,363.8,150.0,370.0,Study 22.12 LF
GOPH,Gopher Gulch,33.9,-117.4,709.9,657.3,50.0,390.0,Study 22.12 BB
GOPH,Gopher Gulch,33.9,-117.4,709.9,657.3,50.0,390.0,Study 22.12 LF
GV03,Mt. Marie Louise N Grass Valley 3,34.3,-117.2,688.5,617.7,70.0,1360.0,Study 22.12 LF
GV03,Mt. Marie Louise N Grass Valley 3,34.3,-117.2,688.5,617.7,70.0,1360.0,Study 22.12 BB
GV05,Mt. Marie Louise N Grass Valley 5,34.3,-117.2,688.4,617.2,70.0,1360.0,Study 22.12 BB
GV05,Mt. Marie Louise N Grass Valley 5,34.3,-117.2,688.4,617.2,70.0,1360.0,Study 22.12 LF
HLL,North Hollywood,34.2,-118.4,311.5,278.8,610.0,1190.0,Study 22.12 BB
HLL,North Hollywood,34.2,-118.4,311.5,278.8,610.0,1190.0,Study 22.12 LF
HUMC,Harvard-UCLA Medical Center,33.8,-118.3,292.4,264.4,750.0,3340.0,Study 22.12 LF
HUMC,Harvard-UCLA Medical Center,33.8,-118.3,292.4,264.4,750.0,3340.0,Study 22.12 BB
LADT,Los Angeles Downtown,34.1,-118.3,349.0,334.2,310.0,2070.0,Study 22.12 LF
LADT,Los Angeles Downtown,34.1,-118.3,349.0,334.2,310.0,2070.0,Study 22.12 BB
LAF,La Fresa,33.9,-118.3,331.9,295.3,710.0,3420.0,Study 22.12 BB
LAF,La Fresa,33.9,-118.3,331.9,295.3,710.0,3420.0,Study 22.12 LF
LAPD,Lake Palmdale,34.6,-118.1,364.8,399.2,110.0,570.0,Study 22.12 LF
LAPD,Lake Palmdale,34.6,-118.1,364.8,399.2,110.0,570.0,Study 22.12 BB
LBP,Long Beach Port,33.8,-118.2,226.2,209.5,770.0,2840.0,Study 22.12 LF
LBP,Long Beach Port,33.8,-118.2,226.2,209.5,770.0,2840.0,Study 22.12 BB
LBUT,Lovejoy Buttes,34.6,-117.8,719.7,646.5,60.0,630.0,Study 22.12 LF
LBUT,Lovejoy Buttes,34.6,-117.8,719.7,646.5,60.0,630.0,Study 22.12 BB
LBUT2,Lovejoy Buttes,34.6,-117.8,350.0,490.9,90.0,630.0,Study 22.12 LF
LBUT2,Lovejoy Buttes,34.6,-117.8,350.0,490.9,90.0,630.0,Study 22.12 BB
LGB,Laguna Bell,34.0,-118.1,344.1,270.0,710.0,4520.0,Study 22.12 LF
LGB,Laguna Bell,34.0,-118.1,344.1,270.0,710.0,4520.0,Study 22.12 BB
LGU,Laguna Peak,34.1,-119.1,384.5,393.1,310.0,2410.0,Study 22.12 LF
LGU,Laguna Peak,34.1,-119.1,384.5,393.1,310.0,2410.0,Study 22.12 BB
LMAT,Lake Mathews Drive,33.8,-117.4,709.9,654.2,50.0,420.0,Study 22.12 LF
LMAT,Lake Mathews Drive,33.8,-117.4,709.9,654.2,50.0,420.0,Study 22.12 BB
LPER,Lake Perris N,33.9,-117.2,710.0,611.3,60.0,590.0,Study 22.12 BB
LPER,Lake Perris N,33.9,-117.2,710.0,611.3,60.0,590.0,Study 22.12 LF
MBRD,Mockingbird,34.0,-117.4,351.9,366.8,150.0,410.0,Study 22.12 BB
MBRD,Mockingbird,34.0,-117.4,351.9,366.8,150.0,410.0,Study 22.12 LF
MKBD,Mockingbird Van Buren,33.9,-117.4,709.8,658.3,50.0,380.0,Study 22.12 LF
MKBD,Mockingbird Van Buren,33.9,-117.4,709.8,658.3,50.0,380.0,Study 22.12 BB
MOP,Moorpark,34.3,-118.9,293.5,297.5,320.0,6140.0,Study 22.12 LF
MOP,Moorpark,34.3,-118.9,293.5,297.5,320.0,6140.0,Study 22.12 BB
MRSD,Morris Dam,34.2,-117.9,352.2,383.0,120.0,1110.0,Study 22.12 LF
MRSD,Morris Dam,34.2,-117.9,352.2,383.0,120.0,1110.0,Study 22.12 BB
MRVY,Moreno valley,33.9,-117.2,709.9,413.7,120.0,970.0,Study 22.12 BB
MRVY,Moreno valley,33.9,-117.2,709.9,413.7,120.0,970.0,Study 22.12 LF
