CS_Site_Short_Name,CS_Site_Long_Name,CS_Latitude,CS_Longitude,NGA_Station_Name,NGA_Station_ID,NGA_Latitude,NGA_Longitude,Distance_km,Match_Type
OSI,Osito Audit: Castaic Lake Dam,34.6145,-118.7235,Osito Audit: Castaic Lake Dam,OSI,34.6145,-118.7235,0.0,Name Match
MOP,Moorpark,34.28085,-118.9049,Moorpark,MOP,34.28085,-118.9049,0.0,Name Match
WSS,West Side Station,34.1717,-118.64971,West Side Station,WSS,34.1717,-118.6497,0.0009199802337770078,Name Match
SBSM,San Bernardino Strong Motion,34.064986,-117.29201,San Bernardino - E & Hospitality,23542,34.065,-117.292,0.0018088414286584686,Proximity Match
PDU,Padua,34.1207,-117.63808,Padua,PDU,34.1207,-117.6381,0.0018410715940233783,Name Match
LGB,Laguna Bell,33.9753,-118.14918,Laguna Bell,LGB,33.9753,-118.1492,0.0018442313765701906,Name Match
OLI,Olinda,33.94539,-117.92372,Olinda,OLI,33.94539,-117.9237,0.0018448798981541884,Name Match
RPV,Rancho Palos Verdes,33.74346,-118.40412,Rancho Palos Verdes,RPV,33.74346,-118.4041,0.001849245070706971,Name Match
OLI,Olinda,33.94539,-117.92372,Olinda,OLI,33.9454,-117.9237,0.002154068849565638,Name Match
HLL,North Hollywood,34.17643,-118.35967,North Hollywood,HLL,34.17643,-118.3597,0.0027597860182091228,Name Match
LGU,Laguna Peak,34.10819,-119.06587,Laguna Peak,LGU,34.10819,-119.0659,0.0027620158840491985,Name Match
LAF,La Fresa,33.86889,-118.33143,La Fresa,LAF,33.86889,-118.3314,0.002769804473610231,Name Match
LGU,Laguna Peak,34.10819,-119.06587,Laguna Peak,LGU,34.1082,-119.0659,0.0029774421928743474,Name Match
LAF,La Fresa,33.86889,-118.33143,La Fresa,LAF,33.8689,-118.3314,0.0029846686739471192,Name Match
ALP,Antelope,34.68708,-118.29946,Antelope,ALP,34.68708,-118.2995,0.003657300727085466,Name Match
RIO,Rio Hondo,34.10473,-117.97956,Rio Hondo,RIO,34.10473,-117.9796,0.003682838457042767,Name Match
DLA,Del Amo,33.84822,-118.09624,Del Amo,DLA,33.84822,-118.0962,0.003693966619030382,Name Match
BRE,Barre Substation,33.80776,-117.98116,Barre Substation,BRE,33.80776,-117.9812,0.003695715138982353,Name Match
PLS,Pleasants Peak,33.7953,-117.60906,Pleasants Peak,PLS,33.7953,-117.6091,0.0036962532370539785,Name Match
ALP,Antelope,34.68708,-118.29946,Antelope,ALP,34.6871,-118.2995,0.0042803703180565875,Name Match
DLA,Del Amo,33.84822,-118.09624,Del Amo,DLA,33.8482,-118.0962,0.004311741789552164,Name Match
HLL,North Hollywood,34.17643,-118.35967,North Hollywood,HLL,34.1764,-118.3597,0.0043294690341319185,Name Match
COO,Compton,33.89604,-118.21639,Compton,COO,33.896,-118.2164,0.004542552245486502,Name Match
PDE,Pardee,34.44199,-118.58215,Pardee,PDE,34.44199,-118.5822,0.0045851185347541784,Name Match
PDE,Pardee,34.44199,-118.58215,Pardee,PDE,34.442,-118.5822,0.004718022958238013,Name Match
RPV,Rancho Palos Verdes,33.74346,-118.40412,Rancho Palos Verdes,RPV,33.7435,-118.4041,0.004816908186195556,Name Match
RIO,Rio Hondo,34.10473,-117.97956,Rio Hondo,RIO,34.1047,-117.9796,0.004969022484669795,Name Match
MOP,Moorpark,34.28085,-118.9049,Moorpark,MOP,34.2809,-118.9049,0.005559746332284177,Name Match
TAB,Table Mountain,34.38245,-117.68191,Table Mountain B,TAB,34.3825,-117.6819,0.005634971993055101,Name Match
BRE,Barre Substation,33.80776,-117.98116,Barre Substation,BRE,33.8078,-117.9812,0.005782836911138688,Name Match
PAS,Pasadena,34.148426,-118.17119,Pasadena (PASA),PASA,34.1484,-118.1711,0.008772203509017171,Name Match
PAS,Pasadena,34.148426,-118.17119,Pasadena - Old Seismo Lab,266,34.1486,-118.171,0.026077711344692174,Name Match
