Site_ID,Site_Name,Latitude,Longitude,Min_Distance_to_Fault_km,Avg_Distance_to_Faults_km,Num_Faults_Within_200km
29P,Twentynine Palms,34.02,-116.01,33.61,36.81,3
400K,Obregon Park-24400,34.04,-118.18,38.30,38.30,1
ABY,Amboy,34.56,-115.74,40.73,60.51,3
ACI,Anacapa Island,34.02,-119.36,67.30,67.30,1
ACTN,Acton,34.46,-118.18,11.79,103.62,2290
ALBY,Albany,37.89,-122.30,2.60,87.30,52
ALC,Alhambra LA County Public Works HQ,34.08,-118.15,175.11,176.16,1
ALIS,Aliso,34.42,-118.09,12.23,102.64,2279
ALP,Antelope,34.69,-118.30,6.64,103.95,2301
ALPW,"Alpine Way, Portola Valley",37.36,-122.24,2.56,85.11,53
ALR,Anaheim-Lakeview & Riverdale-13849,33.85,-117.82,16.49,88.78,2
ALT,Altadena-Eaton Canyon,34.18,-118.10,19.14,19.14,1
ALXV,Alexander Valley,38.71,-122.76,5.82,86.16,45
AMCN,American Canyon,38.17,-122.26,0.75,94.01,51
ANA,Palmdale - Anaverde,34.58,-118.20,37.96,37.96,1
ANDD,Anderson Dam,37.16,-121.63,3.58,97.09,72
ANG,Angeles Forest Mill Creek Summit Fire Station,34.39,-118.08,36.92,36.92,1
ANGL,Angel Island,37.86,-122.42,13.47,85.58,52
ANTC,Antioch - Contra Loma Park,37.97,-121.83,9.83,105.56,57
APL,Apollo,35.34,-116.88,50.37,58.99,2
ARD,Alexander Ranch,35.46,-120.98,7.38,120.06,86
ARGD,Arroyo Grande,35.12,-120.59,0.09,114.58,100
ARM,Red Mountain,33.64,-116.86,41.46,41.64,1
ARS,Pines to Palms - Santa Rosa,33.57,-116.51,41.57,41.72,1
ARV,Arvin,35.20,-118.83,5.50,120.52,171
ARVST,Arvin CISN Station,35.13,-118.83,0.69,117.06,170
ATB,Antelope Butte,34.76,-118.36,46.81,46.81,1
ATL,Tule Canyon Anza Array,33.46,-116.64,54.49,54.66,1
